abk	Abkhazian
ace	Achinese
ach	Acoli
ady	Adyghe; Adygei
aar	Afar
afr	Afrikaans
aka	Akan
sia	Akkala Sami
sqi	Albanian
ale	Aleut
amh	Amharic
ara	Arabic
hye	Armenian
asm	Assamese
ava	Avaric
ave	Avestan
aym	Aymara
aze	Azerbaijani
bdq	Bahnar
ban	Balinese
bal	Baluchi
bam	Bambara
bas	Basa (Cameroon)
bak	Bashkir
eus	Basque
bsq	Bassa
btq	Batek
bej	Beja
bel	Belarusian
bem	Bemba (Zambia)
ben	Bengali
btb	Beti (Cameroon)
bhb	Bhili
bik	Bikol
bin	Bini
bis	Bislama
bos	Bosnian
hbs	Bosnian/Croatian/Montenegrin/Serbian
brh	Brahui
bre	Breton
bul	Bulgarian
mya	Burmese
bsk	Burushaski
cat	Catalan; Valencian
ceb	Cebuano
cld	Chaldean Neo-Aramaic
cha	Chamorro
cbk	Chavacano
che	Chechen
nya	Chichewa; Nyanja
cgg	Chiga
zho	Chinese
cho	Choctaw
cjk	Chokwe
ckt	Chukot
chk	Chuukese
chv	Chuvash
swb	Comorian
cop	Coptic
cor	Cornish
cos	Corsican
cre	Cree
hrv	Croatian
ces	Czech
dan	Danish
diq	Dimli
din	Dinka
div	Divehi
doi	Dogri (generic)
dua	Duala
nld	Dutch
dyu	Dyula
dzo	Dzongkha
efi	Efik
eng	English
est	Estonian
evn	Evenki
ewe	Ewe
ewo	Ewondo
fng	Fanagalo
fao	Faroese
fij	Fijian
fil	Filipino; Pilipino
fin	Finnish
fkv	Finnish (Kven)
fit	Finnish (Tornedalen)
fon	Fon
fra	French
fry	Frisian
ful	Fulah
fud	Futuna, East
gaa	Ga
gla	Gaelic (Scots)
glg	Galician
lug	Ganda
kat	Georgian
deu	German
glk	Gilaki
gil	Gilbertese
gog	Gogo
gon	Gondi
got	Gothic
grc	Greek, Ancient (to 1453)
ell	Greek, Modern (1453-)
grn	Guarani
guj	Gujarati
guz	Gusii
hdy	Hadiyya
hat	Haitian; Haitian Creole
hau	Hausa
haw	Hawaiian
hay	Haya
heb	Hebrew
hbo	Hebrew, Ancient
her	Herero
hil	Hiligaynon
hin	Hindi
hmo	Hiri Motu
hmn	Hmong
hoc	Ho
hop	Hopi
hun	Hungarian
iba	Iban
ibg	Ibanag
isl	Icelandic
ibo	Igbo
kpo	Ikposo
ilb	Ila
ilo	Iloko
smn	Inari Sami
ind	Indonesian
iku	Inuktitut
gle	Irish
ita	Italian
jam	Jamaican Creole English
jpn	Japanese
jra	Jarai
jav	Javanese
kbp	Kabiyé
kab	Kabyle
kac	Kachin
kal	Kalaallisut
kam	Kamba (Kenya)
ktb	Kambaata
kan	Kannada
kau	Kanuri
kpg	Kapingamarangi
krc	Karachay-Balkar
kas	Kashmiri
csb	Kashubian
kaz	Kazakh
sjk	Kemi Sami
khm	Khmer
kik	Kikuyu
sjd	Kildin Sami
kmb	Kimbundu
kin	Kinyarwanda
kir	Kirghiz
ktu	Kituba (Democratic Republic of Congo)
kon	Kongo
kok	Konkani (generic)
kor	Korean
kos	Kosraean
kpe	Kpelle
kri	Krio
kur	Kurdish
kru	Kurukh
lad	Ladino
lah	Lahnda
lhu	Lahu
lam	Lamba
lns	Lamnso’
ljp	Lampung
lao	Lao
lat	Latin
lav	Latvian
lin	Lingala
lis	Lisu
lit	Lithuanian
lom	Loma (Liberia)
ngl	Lomwe
lub	Luba-Katanga
lua	Luba-Lulua
lcf	Lubu
smj	Lule Sami
lun	Lunda
luo	Luo (Kenya and Tanzania)
ldd	Luri
lue	Luvale
ltz	Luxembourgish
luy	Luyia
mkd	Macedonian
mad	Madurese
mdh	Maguindanao
mak	Makasar
vmw	Makhuwa
mlg	Malagasy
msa	Malay (generic)
mly	Malay (specific)
mfa	Malay, Pattani
mal	Malayalam
mlt	Maltese
mlq	Maninkakan, Western
myg	Manta
glv	Manx
mri	Maori
mrw	Maranao
mar	Marathi
mah	Marshall
mwr	Marwari
mas	Masai
mzn	Mazanderani
men	Mende (Sierra Leone)
mer	Meru
min	Minangkabau
bri	Mokpwe
ron	Moldavian; Moldovan; Romanian
lol	Mongo
mon	Mongolian
mrl	Mortlockese
mos	Mossi
mtq	Muong
mye	Myene
miq	Mískito
jbn	Nafusi
nau	Nauru
nde	Ndebele, North
nep	Nepali
niu	Niuean
sme	Northern Sami
nor	Norwegian
nob	Norwegian Bokmål
nno	Norwegian Nynorsk
nut	Nung (Viet Nam)
nup	Nupe-Nupe-Tako
nyn	Nyankole
nyo	Nyoro
oci	Occitan; Aranese
oji	Ojibwa
ori	Oriya
orm	Oromo
oss	Ossetian; Ossetic
pau	Palauan
pli	Pali
pam	Pampanga
pag	Pangasinan
pan	Panjabi
pap	Papiamento
fas	Persian
wes	Pidgin, Cameroon
sje	Pite Sami
pon	Pohnpeian
pol	Polish
por	Portuguese
prv	Provençal
fuf	Pular
puw	Puluwatese
pus	Pushto
que	Quechua
rad	Rade
raj	Rajasthani
